input,aspect_terms,aspect_category
"judging from previous posts this used to be a good place , but not any longer .",place, restaurant general
"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff, service general
"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",NULL, service general
the food was lousy - too sweet or too salty and the portions tiny .,food, food quality
"after all that , they complained to me about the small tip .",NULL, service general
avoid this place !,place, restaurant general
"i have eaten at saul , many times , the food is always consistently , outrageously good .",food, food quality
saul is the best restaurant on smith street and in brooklyn .,saul, restaurant general
the duck confit is always amazing and the foie gras terrine with figs was out of this world .,foie gras terrine with figs, food quality
the wine list is interesting and has many good values .,wine list, drinks style_options
"for the price , you can not eat this well in manhattan .",NULL, restaurant prices
i was very disappointed with this restaurant .,restaurant, restaurant general
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart attendant, service general
i had to ask her three times before she finally came back with the dish ive requested .,NULL, service general
"food was okay , nothing great .",food, food quality
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,chow fun, food quality
i / we will never go back to this place again .,place, restaurant general
"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",fish, restaurant general
"service was devine , oysters where a sensual as they come , and the price ca n  t be beat ! ! !",service, service general
you ca n  t go wrong here .,NULL, restaurant general
every time in new york i make it a point to visit restaurant saul on smith street .,restaurant saul, restaurant general
"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service, service general
i had the duck breast special on my last visit and it was incredible .,duck breast special, food quality
and i hate to say this but i doubt i  ll ever go back .,NULL, restaurant general
"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",food, food quality
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,grilled chicken special with edamame puree, food quality
i had never had edamame pureed before but i thought it was innovative and tasty ( could  ve used a bit more salt ) .,edamame pureed, food quality
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",place, ambience general
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !,service, service general
the perfect spot .,spot, restaurant general
food - awesome .,food, food quality
service - friendly and attentive .,service, service general
ambiance - relaxed and stylish .,ambiance, ambience general
"do n  t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",place, restaurant general
the food is decent .,food, food quality
"however , it  s the service that leaves a bad taste in my mouth .",service, service general
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",waiter, service general
