name,destination,categories,review_tags,description,rating,num_reviews,lat,lon,url
Senso-ji Temple,Tokyo,"Sights & Landmarks,Sacred & Religious Sites","temple,tourists,fortune,market,senso,snacks,incense,souvenir shops,shopping street,prayer,buddhist,smoke,yen,nakamise,food stalls,stick,japanese culture,kaminarimon gate,vendors,tradition,visiting tokyo,good luck,surrounding area,thunder gate,bustling,story pagoda,main hall","According to legend, two brothers kept trying to return a statue of Kannon, the goddess of mercy, to the Sumida River only to have it returned to them the next day. This temple located in Tokyo's Asakusa district was built to honor her.",4.5,9474,35.7147,139.79678,https://www.tripadvisor.com/Attraction_Review-g14134311-d320447-Reviews-Senso_ji_Temple-Asakusa_Taito_Tokyo_Tokyo_Prefecture_Kanto.html
Hachiko,Tokyo,"Sights & Landmarks,Monuments & Statues,Points of Interest & Landmarks","loyal,shibuya station,movie,tokyo,tourists,crowd,meeting point,dog statue,meeting place,akita,symbol,famous shibuya crossing,take pictures,dog lovers,tale,intersection,memorial,tribute,erected,nice statue,located right,scramble crossing",,4.0,3989,35.659172,139.70059,https://www.tripadvisor.com/Attraction_Review-g1066456-d553408-Reviews-Hachiko-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html
Shibuya Crossing,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks","starbucks,street,intersection,crowd,directions,japan,shopping,station,video,thousands,floor,hachiko,tourists,middle,statue,crosswalk,people watching,selfie,dog,madness,fun to watch,masses,organised chaos,every direction,traffic lights,fun experience,visiting tokyo,ants,vantage point,cafes",The only place where 7 cross roads come together and the lights all turn red at the same time. Thousands of pedestrians then all cross at the same time. Just amazing.,4.0,7606,35.65945,139.70049,https://www.tripadvisor.com/Attraction_Review-g1066456-d4403399-Reviews-Shibuya_Crossing-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html
Ueno Park,Tokyo,"Nature & Parks,Parks","zoo,tokyo,cherry blossoms,station,pond,full bloom,sakura season,food stalls,sakura trees,festival,nice walk,buskers,lanterns","This large park is a favorite destination of Tokyo residents, and within can be found many of the city's main attractions including the Tokyo National Museum, Ueno Zoo and the National Museum of Western Art.",4.5,5294,35.713753,139.7733,https://www.tripadvisor.com/Attraction_Review-g14134278-d320441-Reviews-Ueno_Park-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html
Owl cafe tokyo Akiba Fukurou,Tokyo,"Fun & Games,Game & Entertainment Centers","hold,animals,reservation,arm,interact,unique experience,pet,well taken care,laminated,shoulder,session,souvenir,take pictures,perch,rules,personalities,handling,handlers,classical music,visiting tokyo,sweet potato,time slot,akihabara station,highlight of our trip,booklet,different kinds,feathers,a hoot,once in a lifetime,beautiful birds","To live more fulffiling life through interaction with owls... It's our philosophy. Interacting with relaxed-adorable owls make many people smile, and we think owls can heal our tired hearts like a therapy. We prioritize to keep our owls in good health ,and then, we apply the healing effects of 《Classical Music,Sconce Lighting,and White Color》 to our room so that our guests can experience ""extraordinary healing"". As a part of our perfomance, every flow of background music has its own theme, we go along with the story for 1 hour. The number of guests will be【limited to small gruops,and our room is provided by reservation only】so that the guests can spend some cozy time. We hope you will enjoy the “healing entertament” which is the only one bizarre-space in the world ♪",5.0,4228,35.700783,139.77484,https://www.tripadvisor.com/Attraction_Review-g1066443-d7083924-Reviews-Owl_cafe_tokyo_Akiba_Fukurou-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo Tower,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks,Architectural Buildings","tokyo,skytree,great view,elevator,landmark,yen,souvenirs,height,mount fuji,observation,viewing,top deck,platform,eiffel,night view,skyline,subway,cloudy,the ground floor,main deck,roppongi,city lights",,4.0,8342,35.65858,139.74544,https://www.tripadvisor.com/Attraction_Review-g14129730-d320047-Reviews-Tokyo_Tower-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
Shinjuku Gyoen National Garden,Tokyo,"Nature & Parks,Gardens","park,tokyo,cherry blossoms,picnic,yen,greenhouse,beautiful garden,nature,entrance fee,paths,plants,full bloom,busy city,traditional japanese garden,landscape,an oasis,sakura trees,peak,shinjuku area,autumn leaves","Shinjuku Gyoen was constructed on the site of a private mansion belonging to Lord Naito, a ""daimyo"" (feudal lord) of the Edo era. Completed in 1906 as an imperial garden, it was re-designated as a national garden after the Second World War and opened to the public. With 58.3 ha(144 acres) in size and a circumference of 3.5 km, it blends three distinct styles, Formal Garden, Landscape Garden and Japanese Traditional Garden, and is considered to be one of the most important gardens from the Meiji era.",4.5,6217,35.686,139.70984,https://www.tripadvisor.com/Attraction_Review-g1066457-d479258-Reviews-Shinjuku_Gyoen_National_Garden-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo Skytree,Tokyo,"Sights & Landmarks,Points of Interest & Landmarks,Observation Decks & Towers,Architectural Buildings","tokyo,tower,elevator,tree,sky,lines,level,glass floor,yen,sunset,observation deck,mount fuji,structure,viewing,tembo deck,shopping mall,souvenirs,nice view,pay extra,long queue,buy a ticket,top floor,wait in line,enjoy the view,city lights",,4.0,8154,35.71007,139.81065,https://www.tripadvisor.com/Attraction_Review-g14134337-d1872416-Reviews-Tokyo_Skytree-Oshiage_Sumida_Tokyo_Tokyo_Prefecture_Kanto.html
Asakusa,Tokyo,"Sights & Landmarks,Other,Neighborhoods","temple,tokyo,tourist,shopping,market,kimono,neighborhood,foods,subway,souvenir shops,rickshaw,gate,senso,street food,skytree,lanterns,nakamise street,great place to visit,sweets,nice area,the main street",This popular Tokyo neighborhood is home to many shops and restaurants as well as the famed Senso-ji Temple.,4.5,6133,35.712807,139.79655,https://www.tripadvisor.com/Attraction_Review-g14134311-d321129-Reviews-Asakusa-Asakusa_Taito_Tokyo_Tokyo_Prefecture_Kanto.html
Takeshita Street,Tokyo,"Shopping,Sights & Landmarks,Points of Interest & Landmarks","crepes,fashion,tokyo,shopping,clothes,teenagers,souvenirs,costumes,culture,young people,harajuku station,accessories,cafes,kawaii,meiji shrine,cotton candy,shops selling,cat,yoyogi park,rainbow,sunday afternoon,japanese youth","This popular street in Harajuku is known for wacky, youth-driven shops selling colorful and crazy clothes and accessories. It's also a paradise for sweets-lovers - don't miss the fluffy, sugary crepes.",4.0,4439,35.67155,139.70319,https://www.tripadvisor.com/Attraction_Review-g1066456-d1373790-Reviews-Takeshita_Street-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html
Tokyo City View Observation Deck (Roppongihills),Tokyo,"Sights & Landmarks,Observation Decks & Towers","tokyo,observation deck,sky,sunset,mori art museum,photos,mori tower,roof",,4.5,1751,35.660454,139.72957,https://www.tripadvisor.com/Attraction_Review-g14129735-d315480-Reviews-Tokyo_City_View_Observation_Deck_Roppongihills-Roppongi_Minato_Tokyo_Tokyo_Prefe.html
Ryogoku Kokugikan,Tokyo,"Sights & Landmarks,Arenas & Stadiums","tournament,japan,arena,sumo wrestling,box seats,second level,class,small museum",,4.5,894,35.696835,139.79321,https://www.tripadvisor.com/Attraction_Review-g1066459-d315484-Reviews-Ryogoku_Kokugikan-Sumida_Tokyo_Tokyo_Prefecture_Kanto.html
Nezu Museum,Tokyo,"Museums,Art Museums","tokyo,architecture,well worth a visit,permanent collection,asian art,gorgeous gardens",,4.5,890,35.6616,139.7177,https://www.tripadvisor.com/Attraction_Review-g1066451-d324417-Reviews-Nezu_Museum-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
